,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,año_mes
397,1b9ecfe83cdc259250e1a8aca174f0ad,6d6b50b66d79f80827b6d96751528d30,canceled,2018-08-04 14:29:27,2018-08-07 04:10:26,,,2018-08-14 00:00:00,2018-08
613,714fb133a6730ab81fa1d3c1b2007291,e3fe72696c4713d64d3c10afe71e75ed,canceled,2018-01-26 21:34:08,2018-01-26 21:58:39,2018-01-29 22:33:25,,2018-02-22 00:00:00,2018-01
1058,3a129877493c8189c59c60eb71d97c29,0913cdce793684e52bbfac69d87e91fd,canceled,2018-01-25 13:34:24,2018-01-25 13:50:20,2018-01-26 21:42:18,,2018-02-23 00:00:00,2018-01
1130,00b1cb0320190ca0daa2c88b35206009,3532ba38a3fd242259a514ac2b6ae6b6,canceled,2018-08-28 15:26:39,,,,2018-09-12 00:00:00,2018-08
1801,ed3efbd3a87bea76c2812c66a0b32219,191984a8ba4cbb2145acb4fe35b69664,canceled,2018-09-20 13:54:16,,,,2018-10-17 00:00:00,2018-09
1811,0966b61e30c4a07edbd7523f59b3f3e4,2fcc597b8934d99715dbfff7909dd27f,canceled,2018-05-22 18:50:55,2018-05-22 19:17:15,,,2018-07-03 00:00:00,2018-05
1819,9021cf1919f615a121410790dcce848f,7acf55df0298e1d2c31200fb4f6fb93b,canceled,2018-07-04 16:05:56,2018-07-06 02:55:16,,,2018-08-22 00:00:00,2018-07
1868,df8282afe61008dc26c6c31011474d02,aa797b187b5466bc6925aaaa4bb3bed1,canceled,2017-03-04 12:14:30,,,,2017-04-10 00:00:00,2017-03
1971,a39d3db795a5cf4c8b6c9dd050f0d326,ec66df2cb66dfda07c03050470e21f69,canceled,2017-03-13 16:12:24,2017-03-13 16:12:24,,,2017-03-30 00:00:00,2017-03
2029,8d4c637f1accf7a88a4555f02741e606,b1dd715db389a2077f43174e7a675d07,canceled,2018-08-29 16:27:49,,,,2018-09-13 00:00:00,2018-08
2161,7a9d4c7f9b068337875b95465330f2fc,7f71ae48074c0cfec9195f88fcbfac55,canceled,2017-05-01 16:12:39,,,,2017-05-30 00:00:00,2017-05
2197,375f80ffc05feb35ce2680f1fa490575,8f6e5911262a8742393596bee2c09eac,canceled,2017-06-13 21:10:05,2017-06-13 21:22:35,,,2017-07-06 00:00:00,2017-06
2278,6bfa92d3952f762df12752e4937cd63e,6ccb997c97b0734228b454ba220ed00e,canceled,2018-04-27 21:28:24,2018-04-27 21:52:18,,,2018-05-10 00:00:00,2018-04
2697,2eb5ba20812f78127f6243fa27fb40e5,d5420a7dc4c5c1f95b7912368419f59f,canceled,2017-05-29 18:10:06,2017-05-31 07:02:46,,,2017-06-20 00:00:00,2017-05
2921,1950d777989f6a877539f53795b4c3c3,1bccb206de9f0f25adc6871a1bcf77b2,canceled,2018-02-19 19:48:52,2018-02-19 20:56:05,2018-02-20 19:57:13,2018-03-21 22:03:51,2018-03-09 00:00:00,2018-02
3056,ddaec6fff982b13e7e048b627a11d6da,68f4ad79cc0c2ad06e19088f5c00e9fa,canceled,2016-10-04 19:41:32,,,,2016-11-16 00:00:00,2016-10
3094,5290c34bd38a8a095b885f13958db1e1,92af427e290117f39d9ff908566072e0,canceled,2018-08-21 10:25:18,,,,2018-09-06 00:00:00,2018-08
3352,6261f3240a8778c656bd28aeb2ba9985,59c0ac147fb499a0f14577f508a3657d,canceled,2017-05-31 13:21:35,2017-06-01 13:35:20,,,2017-07-04 00:00:00,2017-05
3397,5ad5a1ef522da1732ab963ea1fb6165b,a76e74100709762a48e683a177dc86b0,canceled,2017-06-22 19:53:09,2017-06-22 20:05:23,,,2017-07-05 00:00:00,2017-06
3684,03310aa823a66056268a3bab36e827fb,25dbbf0c477fd4ae0880aaffbb12e8b3,canceled,2018-08-07 16:33:59,,,,2018-09-04 00:00:00,2018-08
4312,96ae30a2357a999e6010b2f1401af374,44ea012b92b665f5f4c775f3f0a63d7b,canceled,2017-07-31 16:37:31,2017-07-31 16:50:17,,,2017-08-18 00:00:00,2017-07
4345,73c182f8914a0064d6c64ad65e4c6942,f51c6d9e24e077d5755ac7abdb209b1e,canceled,2017-02-08 00:53:19,2017-02-08 01:05:12,,,2017-03-15 00:00:00,2017-02
4373,4c8b9947280829d0a8b7e81cc249b875,403c35c4d8813bf67b3d396b91ca1619,canceled,2018-08-09 14:54:47,,,,2018-08-21 00:00:00,2018-08
4396,e5fa5a7210941f7d56d0208e4e071d35,683c54fc24d40ee9f8a6fc179fd9856c,canceled,2016-09-05 00:15:34,2016-10-07 13:17:15,,,2016-10-28 00:00:00,2016-09
4939,b13ea375fe9c728832688264638f84cf,0dc5884bc5ffba283678229f27e07ff9,canceled,2018-08-22 18:52:29,,,,2018-09-19 00:00:00,2018-08
5127,8a9cce19aa49e055f2babb81d5a71c40,f2676ef361959c938b35ecd32321adce,canceled,2018-02-01 10:04:20,2018-02-03 02:52:42,2018-02-05 20:41:28,,2018-02-23 00:00:00,2018-02
5149,ea844c92cf978ea23321fa7fe5871761,6ddc45ad08e6a2c885ca2255fc52d6df,canceled,2018-09-13 09:56:12,,,,2018-09-27 00:00:00,2018-09
5432,85e05c3c9aa9834518f35d4f286014be,1d07a80a15700b40cb15ff5870ee8b48,canceled,2018-08-28 08:18:22,,,,2018-10-10 00:00:00,2018-08
5449,c1049eef89915c6beb3604bf3d6588d7,ed16865bcadcea1a00a928bf418a74bf,canceled,2018-02-05 23:08:11,2018-02-05 23:29:26,2018-02-09 22:13:01,,2018-03-07 00:00:00,2018-02
5457,168823ad1b77477540db78ab357f18b5,d0b3bccd5ab7d4920b0a8318ce9d997b,canceled,2018-07-17 11:16:54,2018-07-17 11:30:31,,,2018-08-17 00:00:00,2018-07
5509,885935156ba43094f3ae95f3c14e0381,3885c59916b2b261205c303fe0a10abf,canceled,2018-02-02 16:06:44,2018-02-06 04:32:39,2018-02-07 20:48:31,,2018-03-08 00:00:00,2018-02
5518,38a86eb53c2309d6234fc9bad96331ac,82d98198f7fb1687858e03a5322e1621,canceled,2018-08-18 12:39:31,,,,2018-08-29 00:00:00,2018-08
